Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
2020-07-23,15516109,662950,8823667,6029492,282706,4.27,56.87,7.51,187
2020-07-24,15798009,669398,9051967,6076644,281900,4.24,57.3,7.4,187
2020-07-25,16054123,675584,9271779,6106760,256114,4.21,57.75,7.29,187
2020-07-26,16268493,679914,9415080,6173499,214370,4.18,57.87,7.22,187
2020-07-27,16494310,685120,9586463,6222727,225821,4.15,58.12,7.15,187
2020-07-28,16744296,691735,9756921,6295640,249986,4.13,58.27,7.09,187
2020-07-29,17032535,698780,9959507,6374248,288239,4.1,58.47,7.02,187
2020-07-30,17312797,705459,10173026,6434312,280262,4.07,58.76,6.93,187
2020-07-31,17603582,711989,10372632,6518961,290785,4.04,58.92,6.86,187
2020-08-01,17854971,718142,10553543,6583286,251389,4.02,59.11,6.8,187
2020-08-02,18086360,722817,10692267,6671276,231389,4.0,59.12,6.76,187
2020-08-03,18292586,727571,10914712,6650303,206227,3.98,59.67,6.67,187
2020-08-04,18546707,734543,11138369,6673795,254121,3.96,60.06,6.59,187
2020-08-05,18824724,742000,11360064,6722660,278017,3.94,60.35,6.53,187
2020-08-06,19107728,748831,11548871,6810026,283004,3.92,60.44,6.48,187
2020-08-07,19391720,755567,11740917,6895236,283992,3.9,60.55,6.44,187
2020-08-08,19651372,761657,11941161,6948554,259652,3.88,60.77,6.38,187
2020-08-09,19878408,766831,12119939,6991638,227038,3.86,60.97,6.33,187
2020-08-10,20101896,772110,12284150,7045636,223488,3.84,61.11,6.29,187
2020-08-11,20364163,778805,12589218,6996140,262268,3.82,61.82,6.19,187
2020-08-12,20637571,785760,12829863,7021948,273408,3.81,62.17,6.12,187
2020-08-13,20926983,792573,12993779,7140631,289428,3.79,62.09,6.1,187
2020-08-14,21230383,799206,13277021,7154156,303400,3.76,62.54,6.02,187
2020-08-15,21480882,805210,13445625,7230047,250499,3.75,62.59,5.99,187
2020-08-16,21696263,810028,13678579,7207656,215423,3.73,63.05,5.92,187
2020-08-17,21902858,814531,13889591,7198736,206595,3.72,63.41,5.86,187
2020-08-18,22158999,821583,14117186,7220230,256141,3.71,63.71,5.82,187
2020-08-19,22435425,828639,14335183,7271603,276426,3.69,63.9,5.78,187
2020-08-20,22708627,835054,14542973,7330600,273202,3.68,64.04,5.74,187
2020-08-21,22969809,840800,14711467,7417542,261182,3.66,64.05,5.72,187
2020-08-22,23235385,846676,14921384,7467325,265576,3.64,64.22,5.67,187
2020-08-23,23441948,851024,15137915,7453009,206563,3.63,64.58,5.62,187
2020-08-24,23665497,855703,15337336,7472458,223649,3.62,64.81,5.58,187
2020-08-25,23910116,862346,15568885,7478885,244619,3.61,65.11,5.54,187
2020-08-26,24192421,868917,15794619,7528885,282305,3.59,65.29,5.5,187
2020-08-27,24477258,875139,16001856,7600263,284837,3.58,65.37,5.47,187
2020-08-28,24760614,880977,16200974,7678663,284704,3.56,65.43,5.44,187
2020-08-29,25025925,886660,16412387,7726878,265311,3.54,65.58,5.4,187
2020-08-30,25247471,891088,16622627,7733756,221546,3.53,65.84,5.36,187
2020-08-31,25507557,895421,16823417,7788719,260086,3.51,65.95,5.32,187
2020-09-01,25773600,902083,17081379,7790138,266043,3.5,66.27,5.28,187
2020-09-02,26056728,908351,17300616,7847761,283140,3.49,66.4,5.25,187
2020-09-03,26338327,914422,17521985,7901920,281599,3.47,66.53,5.22,187
2020-09-04,26652650,920330,17735486,7996834,314323,3.45,66.54,5.19,187
2020-09-05,26923089,925545,17936474,8061070,270439,3.44,66.62,5.16,187
2020-09-06,27153448,929659,18148265,8075524,230359,3.42,66.84,5.12,187
2020-09-07,27371631,939257,18345813,8086561,226136,3.43,67.02,5.12,187
2020-09-08,27612155,944373,18547610,8120172,240524,3.42,67.17,5.09,187
2020-09-09,27897463,950550,18787877,8159036,285308,3.41,67.35,5.06,187
2020-09-10,28197291,956573,19004538,8236180,299828,3.39,67.4,5.03,187
2020-09-11,28519018,962601,19228208,8328209,321727,3.38,67.42,5.01,187
2020-09-12,28806271,967699,19451142,8387430,287253,3.36,67.52,4.98,187
2020-09-13,29049207,971661,19638990,8438556,242936,3.34,67.61,4.95,187
2020-09-14,29311726,976177,19867489,8468060,262519,3.33,67.78,4.91,187
2020-09-15,29597125,982789,20093776,8520560,285399,3.32,67.89,4.89,187
2020-09-16,29901603,988690,20323253,8589660,304478,3.31,67.97,4.86,187
2020-09-17,30216448,994296,20543464,8678688,314845,3.29,67.99,4.84,187
2020-09-18,30542490,1000184,20794613,8747693,326042,3.27,68.08,4.81,187
2020-09-19,30835250,1005556,21031598,8798096,292760,3.26,68.21,4.78,187
2020-09-20,31087915,1009535,21268675,8809705,252665,3.25,68.41,4.75,187
